,INITIAL,doFilter,$
INITIAL*,0.0; norm(0.00 0.00),1.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
doFilter,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(0.00 0.00)
