,INITIAL,doFilter,$
INITIAL*,0.0; norm(0.00 0.00),1.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
doFilter,0.0; norm(0.00 0.00),0.9565; norm(14606.00 24149.00),0.0435; norm(0.00 0.00)
